humidity,price,sales,temperature,weather
29.5,290,229.7,17.8,rainy
38.1,290,206.1,26.1,rainy
31.5,290,202.5,22.0,rainy
39.7,290,195.5,23.0,rainy
24.7,290,214.4,14.5,rainy
27.2,290,174.4,20.8,rainy
29.3,290,238.6,23.7,rainy
26.4,290,190.8,15.2,rainy
27.9,290,211.2,18.7,rainy
38.0,290,204.5,20.2,rainy
26.9,290,221.7,13.1,rainy
28.9,290,179.0,21.6,rainy
37.9,290,208.2,24.2,rainy
27.7,290,197.1,15.7,rainy
29.4,290,227.2,21.8,rainy
30.7,290,183.6,13.4,rainy
33.8,290,205.2,19.8,rainy
25.8,290,185.1,11.9,rainy
39.6,290,215.4,25.6,rainy
33.6,290,219.1,22.0,rainy
36.8,290,191.4,19.9,rainy
31.2,290,220.5,16.1,rainy
40.5,290,229.2,26.4,rainy
38.2,290,227.3,29.8,rainy
22.8,290,210.4,10.7,rainy
43.1,290,205.2,26.2,rainy
35.2,290,215.9,28.1,rainy
32.4,290,196.0,21.7,rainy
26.3,290,196.8,14.0,rainy
34.0,290,221.1,24.3,rainy
32.2,295,194.5,19.1,rainy
30.8,295,196.4,17.0,rainy
30.3,295,188.3,13.8,rainy
39.1,295,196.7,22.8,rainy
34.0,295,200.7,24.0,rainy
26.4,295,202.1,16.9,rainy
30.0,295,192.4,22.6,rainy
26.6,295,202.7,14.3,rainy
29.4,295,235.7,24.0,rainy
34.6,295,217.4,20.2,rainy
30.0,310,196.0,19.1,rainy
30.8,310,186.1,19.5,rainy
34.6,310,194.0,24.3,rainy
30.1,310,229.9,23.8,rainy
31.0,310,203.9,22.6,rainy
34.4,315,189.3,20.7,rainy
34.1,315,201.3,20.4,rainy
32.5,315,233.2,23.1,rainy
38.2,315,201.2,21.2,rainy
30.1,315,211.3,23.4,rainy
28.0,290,229.6,18.4,sunny
22.0,290,207.1,7.8,sunny
24.7,290,216.1,25.2,sunny
42.4,290,234.8,30.9,sunny
32.4,290,226.5,22.2,sunny
26.6,295,233.2,19.5,sunny
35.7,295,236.7,19.3,sunny
31.4,295,238.2,19.4,sunny
31.3,295,229.4,20.1,sunny
24.8,295,231.6,14.4,sunny
28.8,310,204.6,17.4,sunny
22.4,310,231.8,15.0,sunny
33.1,310,228.1,21.2,sunny
28.0,310,212.7,18.5,sunny
31.9,310,229.3,22.5,sunny
33.1,310,216.8,19.1,sunny
33.8,310,241.9,24.9,sunny
31.4,310,243.1,21.1,sunny
37.4,310,265.0,31.0,sunny
22.1,310,186.7,10.5,sunny
30.6,315,191.5,16.8,sunny
37.3,315,214.8,24.5,sunny
39.8,315,234.5,32.6,sunny
31.9,315,228.7,18.8,sunny
27.5,315,222.0,20.2,sunny
26.7,315,185.3,18.9,sunny
29.7,315,220.4,26.7,sunny
32.9,315,227.7,18.6,sunny
31.3,315,224.5,23.4,sunny
33.2,315,226.5,18.4,sunny
23.8,315,206.0,13.6,sunny
29.6,315,215.9,21.6,sunny
31.8,315,222.8,22.5,sunny
36.7,315,231.0,26.5,sunny
29.8,315,219.3,19.4,sunny
28.8,315,215.1,16.9,sunny
31.7,315,210.3,22.8,sunny
31.3,315,224.1,21.2,sunny
27.5,315,220.5,21.4,sunny
30.0,315,233.5,19.6,sunny
32.9,315,241.9,25.8,sunny
30.9,315,221.9,21.8,sunny
37.2,315,222.8,29.5,sunny
31.3,315,214.1,25.6,sunny
31.7,315,227.3,23.3,sunny
24.2,315,208.4,11.9,sunny
33.1,315,215.4,23.0,sunny
33.6,315,220.2,22.1,sunny
29.6,315,212.6,24.1,sunny
34.9,315,233.7,25.2,sunny
